"Region Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"2/3/2019 2 a.m. EST",383689,52944,101,26541,7394,2266,98126,90305,103773
US48,"2/3/2019 3 a.m. EST",374894,53146,94,24847,7344,2234,94329,88264,103232
US48,"2/3/2019 4 a.m. EST",370773,53092,101,24250,7300,2140,91656,87713,103067
US48,"2/3/2019 5 a.m. EST",369041,51902,98,23973,7323,2034,91521,87772,103065
US48,"2/3/2019 6 a.m. EST",371871,51005,96,24470,7361,2082,92837,89822,103139
US48,"2/3/2019 7 a.m. EST",378947,50843,124,26808,7567,2224,95783,91732,103018
US48,"2/3/2019 8 a.m. EST",390079,50297,560,29690,7742,2283,101067,94357,103101
US48,"2/3/2019 9 a.m. EST",400795,49815,1477,31799,7806,2284,105791,97664,103048
US48,"2/3/2019 10 a.m. EST",408577,48277,2766,32950,6980,3033,108966,101469,103023
US48,"2/3/2019 11 a.m. EST",412035,46571,7447,33494,7891,2281,108272,101786,103003
US48,"2/3/2019 12 p.m. EST",411291,46480,11517,32326,7710,2250,106319,100783,102937
